asin,handle,filename
B001PU9A9Q,nippies-nipple-covers-for-women-reusable-sticky-silicone-pasties-with-travel-cas,B001PU9A9Q.jpg
B0FP5BYXVR,sampeel-wide-leg-pants-for-women-flowy-palazzo-drawstring-elastic-waist-trousers,B0FP5BYXVR.jpg
B0FLQKYQLM,letsjoli-push-up-strapless-bras-for-women-supportive-bandeau-bra-non-slip-wirele,B0FLQKYQLM.jpg
B0FS1DBXTG,cocomarts-jelly-bras-for-women-no-underwire-scalloped-push-up-wireless-bralettes,B0FS1DBXTG.jpg
B0CG7LH9JG,shapermint-strapless-bra-wireless-non-slip-bandeau-convertible-straps-molded-str,B0CG7LH9JG.jpg
B0CSDK2C3P,women-s-sun-shirts-upf-50-long-sleeve-uv-protection-shirt-lightweight-quick-dry-,B0CSDK2C3P.jpg
B074SHQ18W,baleaf-women-s-8-5-3-biker-shorts-high-waist-yoga-workout-gym-running-volleyball,B074SHQ18W.jpg
B004QF0TFQ,dickies-men-s-dri-tech-original-moisture-control-crew-socks-available-in-m-xxl-6,B004QF0TFQ.jpg
B00HVVVMM6,hanes-men-s-tank-undershirt-pack-cotton-tank-undershirt-moisture-wicking-breatha,B00HVVVMM6.jpg
B07VWT4XRG,fitrell-3-pairs-compression-socks-for-women-and-men-20-30mmhg-circulation-suppor,B07VWT4XRG.jpg
B085C1RXD4,ft-fenteng-mens-swim-trunks-quick-dry-board-shorts-with-mesh-liner-breathable-bi,B085C1RXD4.jpg
B06XW4T56N,amazon-essentials-men-s-lightweight-breathable-cotton-slim-fit-tank-undershirts-,B06XW4T56N.jpg
B0CPY7HM3Q,comdecevis-men-s-linen-shorts-casual-elastic-waist-drawstring-summer-beach-vacat,B0CPY7HM3Q.jpg
B00AECT1ZE,dickies-men-s-dri-tech-moisture-control-quarter-socks-available-in-m-xxl-6-12-18,B00AECT1ZE.jpg
B09XQVCZ8B,soothfeel-men-s-running-shorts-with-zipper-pockets-9-7-5-quick-dry-eight-basketb,B09XQVCZ8B.jpg
B0C5ZRQS2X,kuailu-flip-flops-for-women-with-arch-support-yoga-mat-comfortable-summer-beach-,B0C5ZRQS2X.jpg
B0CSMN1X4W,odoly-unisex-cork-footbed-slide-sandal-arch-support-summer-outdoor-sandals-with-,B0CSMN1X4W.jpg
B0CRD3ZX8R,whitin-women-s-multi-purpose-feather-water-shoes-thick-sole,B0CRD3ZX8R.jpg
B09K3ST7LK,kuailu-womens-fashion-orthotic-slides-ladies-athletic-yoga-mat-memory-foam-walki,B09K3ST7LK.jpg
B00K2OKHSO,reef-women-s-cushion-breeze-flip-flops,B00K2OKHSO.jpg
B0GRXXZQDR,project-cloud-100-genuine-leather-sandals-women-dressy-beach-essentials-slides-f,B0GRXXZQDR.jpg
B07NJNRHKG,skechers-women-s-bobs-b-cute-sneaker-memory-foam-flexible-outsole-lightweight-ve,B07NJNRHKG.jpg
B0CTK7LJQF,if-you-gold-ankle-bracelets-for-women-14k-gold-plated-waterproof-cuban-link-chai,B0CTK7LJQF.jpg
B0DZX5QJ21,july-4th-independence-day-earrings-american-flag-five-pointed-star-earrings-dang,B0DZX5QJ21.jpg
B0DX6Q2K5D,gokeey-gold-bracelets-set-for-women-non-tarnish-waterproof-14k-gold-plated-sterl,B0DX6Q2K5D.jpg
B0CB7CHRMZ,cluci-clear-bag-for-stadium-events-clear-crossbody-bag-transparent-purses,B0CB7CHRMZ.jpg
B0DS6H25HL,simple-modern-extra-large-beach-bag-waterproof-getaway-rubber-tote-with-zipper-p,B0DS6H25HL.jpg
B09TXL9ZGZ,cookooky-straw-clutch-handbag-summer-beach-straw-purse-for-women-woven-envelope-,B09TXL9ZGZ.jpg
B0CTQ3DBLC,jogjam-black-cat-floral-rfid-women-wallet-small-slim-thin-credit-card-wallet-pu-,B0CTQ3DBLC.jpg
B09P4V72F8,kalidi-women-corduroy-tote-bag-zipper-casual-tote-s-handbag-big-capacity-shoulde,B09P4V72F8.jpg
B0F7R7SHYY,bagsmart-boxy-tote-bag-for-women-crossbody-bag-with-zipper-crush-bow-purses-for-,B0F7R7SHYY.jpg
B0F17DND4Q,black-and-white-checkered-crossbody-bag-bum-bag-for-women-spacious-checkered-pur,B0F17DND4Q.jpg
B0DKNVPHCN,kkxiu-shoulder-bag-for-women-small-clutch-purses-cute-hobo-handbag-trendy-undera,B0DKNVPHCN.jpg
B0BGWVK8KY,ketiee-clear-crossbody-bag-stadium-approved-clear-purse-bag-for-concerts-sports-,B0BGWVK8KY.jpg
B0D749VYM6,vantamo-crescent-bags-for-women-with-rfid-protection-half-moon-clutch-purses-for,B0D749VYM6.jpg
B0G4QNDY6T,iioscre-beach-bag-for-women-causal-hobo-bag-with-zipper-inner-pocket-foldable-me,B0G4QNDY6T.jpg
B08R3TJKH7,inicat-women-s-small-sling-bag-lightweight-everyday-vegan-leather-crossbody-purs,B08R3TJKH7.jpg
B085S8CPHY,mintegra-women-shoulder-handbag-roomy-multiple-pockets-bag-ladies-crossbody-purs,B085S8CPHY.jpg
